species,age,weight,temperature,heartRate,respiratoryRate,skinRedness,itching,hairLoss,vomiting,diarrhea,appetiteLevel,waterIntakeLevel,activityLevel,symptomDurationDays,abnormalProbability,riskGrade,primaryRiskFactor
DOG,2,17.9,40.9,175,46,False,False,True,False,True,DECREASED,INCREASED,LOW,5,1.0,DANGER,"고열, 빈맥"
CAT,3,2.7,40.4,226,51,False,False,False,True,True,DECREASED,NORMAL,LOW,0,0.92,DANGER,"미열, 호흡 급증"
DOG,6,20.5,38.6,114,25,False,False,False,False,False,NORMAL,INCREASED,LOW,7,0.2,NORMAL,이상 없음(정상)
DOG,3,19.9,40.1,166,61,True,False,True,True,True,NORMAL,DECREASED,LOW,0,1.0,DANGER,"고열, 빈맥"
DOG,6,13.5,39.3,126,24,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.4,WATCH,미열
DOG,6,5.7,38.6,135,38,False,False,False,True,True,DECREASED,NORMAL,LOW,2,0.66,CAUTION,"소화기 이상(구토 및 설사), 식욕 감소"
CAT,4,3.2,39.1,158,28,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.18,NORMAL,이상 없음(정상)
CAT,3,6.6,39.3,190,21,False,False,False,False,False,NORMAL,DECREASED,NORMAL,0,0.12,NORMAL,이상 없음(정상)
CAT,14,5.8,38.2,145,25,False,False,False,False,False,NORMAL,NORMAL,HIGH,2,0.03,NORMAL,이상 없음(정상)
DOG,9,12.8,39.7,97,34,True,True,False,False,False,NORMAL,NORMAL,LOW,6,0.44,WATCH,"미열, 피부 징후"
CAT,13,3.5,39.0,174,21,True,False,False,False,False,NORMAL,NORMAL,LOW,4,0.25,NORMAL,이상 없음(정상)
CAT,7,5.5,39.9,228,31,True,False,False,True,False,DECREASED,DECREASED,LOW,2,0.67,CAUTION,"미열, 구토"
CAT,12,4.1,39.0,275,39,True,True,False,True,False,NORMAL,NORMAL,LOW,0,0.55,CAUTION,"빈맥, 구토"
CAT,10,5.7,38.5,127,20,False,True,False,False,False,NORMAL,NORMAL,HIGH,4,0.22,NORMAL,이상 없음(정상)
CAT,14,4.9,39.1,190,10,False,False,False,True,False,NORMAL,NORMAL,HIGH,1,0.06,NORMAL,이상 없음(정상)
DOG,7,27.5,38.5,90,37,True,False,False,True,False,DECREASED,DECREASED,LOW,1,0.66,CAUTION,"구토, 피부 징후"
DOG,2,22.3,38.6,131,20,True,False,False,False,False,DECREASED,NORMAL,LOW,1,0.21,NORMAL,이상 없음(정상)
CAT,7,5.2,39.5,219,22,False,True,False,True,False,DECREASED,DECREASED,LOW,6,0.68,CAUTION,"구토, 피부 징후"
CAT,3,4.8,40.5,240,72,True,False,False,True,True,NONE,DECREASED,LOW,5,1.0,DANGER,"고열, 빈맥"
DOG,13,24.9,38.6,98,39,False,False,False,False,True,NORMAL,NORMAL,LOW,4,0.3,WATCH,"설사, 활동량 저하"
CAT,11,6.5,39.8,191,23,False,False,False,True,False,NORMAL,INCREASED,LOW,6,0.48,WATCH,"미열, 구토"
DOG,9,14.2,39.3,96,25,False,False,True,True,False,NORMAL,NORMAL,NORMAL,0,0.41,WATCH,"미열, 구토"
DOG,12,28.3,39.7,218,42,False,False,False,False,True,NONE,INCREASED,LOW,5,1.0,DANGER,"미열, 빈맥"
DOG,9,25.4,39.7,128,22,False,False,True,True,False,DECREASED,DECREASED,NORMAL,7,0.67,CAUTION,"미열, 구토"
DOG,10,25.5,38.3,116,30,False,True,False,False,False,DECREASED,NORMAL,NORMAL,4,0.3,WATCH,"피부 징후, 식욕 감소"
CAT,9,6.7,37.5,221,26,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,13,26.1,40.7,147,48,False,False,False,True,True,DECREASED,DECREASED,LOW,1,1.0,DANGER,"고열, 호흡 급증"
CAT,7,7.6,40.7,300,46,True,False,False,True,False,NONE,NORMAL,LOW,0,1.0,DANGER,"고열, 빈맥"
CAT,11,5.6,39.7,198,26,True,False,False,True,False,NORMAL,NORMAL,NORMAL,2,0.45,WATCH,"미열, 구토"
DOG,10,12.4,40.5,168,51,False,False,False,False,True,NONE,DECREASED,LOW,7,1.0,DANGER,"고열, 빈맥"
DOG,1,9.7,40.6,179,57,True,True,True,False,True,NORMAL,DECREASED,LOW,7,1.0,DANGER,"고열, 빈맥"
DOG,1,15.9,38.3,80,29,True,False,False,False,False,NORMAL,NORMAL,NORMAL,2,0.02,NORMAL,이상 없음(정상)
DOG,9,18.5,39.7,60,44,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.37,WATCH,"미열, 호흡 급증"
CAT,8,6.0,38.5,203,25,False,True,False,True,False,NORMAL,NORMAL,NORMAL,4,0.4,WATCH,"구토, 피부 징후"
DOG,11,4.7,38.5,114,18,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,5,2.4,38.8,189,36,False,False,False,False,False,NORMAL,INCREASED,HIGH,6,0.09,NORMAL,이상 없음(정상)
CAT,14,4.3,39.7,254,33,True,False,True,False,False,NORMAL,NORMAL,NORMAL,2,0.59,CAUTION,"미열, 빈맥"
DOG,6,15.1,39.2,137,38,True,True,False,True,True,DECREASED,NORMAL,LOW,4,0.7,CAUTION,"소화기 이상(구토 및 설사), 피부 징후"
CAT,11,5.9,40.3,242,54,True,True,False,True,True,DECREASED,DECREASED,LOW,6,1.0,DANGER,"미열, 빈맥"
CAT,9,6.9,39.0,144,22,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,13,4.0,39.7,205,34,False,False,False,False,True,DECREASED,DECREASED,NORMAL,2,0.5,CAUTION,"미열, 설사"
CAT,3,7.6,40.6,224,26,False,True,True,False,False,DECREASED,DECREASED,LOW,4,0.71,CAUTION,"고열, 피부 징후"
CAT,4,2.4,39.1,133,11,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.12,NORMAL,이상 없음(정상)
CAT,4,5.3,39.3,214,27,True,False,True,False,False,DECREASED,DECREASED,NORMAL,5,0.31,WATCH,"피부 징후, 식욕 감소"
DOG,2,9.8,38.6,117,37,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,13,6.0,39.3,217,20,False,False,False,True,False,DECREASED,NORMAL,LOW,1,0.43,WATCH,"구토, 식욕 감소"
CAT,13,3.6,40.6,266,46,True,False,False,True,False,NONE,DECREASED,LOW,5,1.0,DANGER,"고열, 빈맥"
CAT,14,2.5,40.1,180,23,False,False,False,False,True,DECREASED,NORMAL,HIGH,0,0.45,WATCH,"미열, 설사"
DOG,7,6.5,40.2,196,44,True,False,False,False,False,NONE,DECREASED,LOW,3,1.0,DANGER,"고열, 빈맥"
DOG,15,18.4,38.4,129,16,False,False,False,False,True,DECREASED,DECREASED,LOW,1,0.32,WATCH,"설사, 식욕 감소"
CAT,14,3.9,40.0,188,30,True,False,False,False,False,NORMAL,DECREASED,LOW,5,0.58,CAUTION,"미열, 피부 징후"
CAT,14,2.4,39.4,151,16,True,False,False,False,False,INCREASED,NORMAL,NORMAL,1,0.17,NORMAL,이상 없음(정상)
DOG,13,22.9,40.2,157,56,False,True,False,False,True,NONE,DECREASED,LOW,0,1.0,DANGER,"고열, 호흡 급증"
CAT,1,3.5,39.3,138,34,False,False,True,False,False,NORMAL,NORMAL,NORMAL,0,0.19,NORMAL,이상 없음(정상)
CAT,10,4.8,39.7,226,32,False,True,False,True,True,NORMAL,DECREASED,NORMAL,6,0.62,CAUTION,"미열, 소화기 이상(구토 및 설사)"
DOG,9,11.4,39.8,210,50,True,False,True,True,False,NONE,DECREASED,LOW,3,1.0,DANGER,"미열, 빈맥"
CAT,4,7.2,38.9,185,10,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
CAT,5,5.5,40.2,204,16,False,False,False,False,False,DECREASED,NORMAL,NORMAL,5,0.35,WATCH,"미열, 식욕 감소"
DOG,5,26.6,40.0,130,48,True,True,False,False,False,DECREASED,DECREASED,HIGH,2,0.84,DANGER,"고열, 호흡 급증"
CAT,13,7.2,38.9,240,12,True,True,False,False,False,DECREASED,INCREASED,HIGH,5,0.35,WATCH,"빈맥, 피부 징후"
DOG,4,22.4,39.0,102,21,False,True,False,False,False,NORMAL,NORMAL,NORMAL,0,0.16,NORMAL,이상 없음(정상)
DOG,7,26.5,39.2,80,38,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,1,19.6,39.7,116,22,True,False,False,False,True,DECREASED,INCREASED,LOW,6,0.69,CAUTION,"미열, 설사"
DOG,10,6.8,38.5,106,14,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.0,NORMAL,이상 없음(정상)
DOG,8,23.8,38.9,121,29,False,False,False,True,False,DECREASED,INCREASED,LOW,5,0.36,WATCH,"구토, 식욕 감소"
DOG,15,25.1,39.6,104,25,False,True,False,False,True,DECREASED,DECREASED,LOW,2,0.74,CAUTION,"미열, 설사"
CAT,5,6.4,38.1,172,21,False,False,False,False,False,NORMAL,NORMAL,NORMAL,0,0.12,NORMAL,이상 없음(정상)
CAT,5,3.1,38.3,245,32,False,False,False,False,False,DECREASED,NORMAL,NORMAL,4,0.33,WATCH,"빈맥, 식욕 감소"
CAT,14,3.6,40.6,236,49,False,False,True,True,True,NONE,INCREASED,LOW,2,1.0,DANGER,"고열, 호흡 급증"
DOG,10,17.3,40.4,163,52,True,True,False,True,True,DECREASED,DECREASED,LOW,3,1.0,DANGER,"고열, 빈맥"
DOG,12,15.0,40.1,174,54,True,False,False,False,False,NORMAL,DECREASED,LOW,0,1.0,DANGER,"고열, 빈맥"
CAT,3,7.7,39.6,179,31,False,False,False,False,False,INCREASED,NORMAL,LOW,7,0.4,WATCH,"미열, 활동량 저하"
